"Node","InDegree","OutDegree"
"FociPerGy_Fe.600.MeV.n_24",2,13
"Bgd_Fe.600.MeV.n_24",8,11
"Bgd_X.ray_48",3,11
"FociPerGy_X.ray_4",1,10
"FociPerGy_X.ray_24",2,10
"FociPerGy_X.ray_48",4,10
"FociPerGy_Si.350.MeV.n_8",6,9
"FociPerGy_Ar.350.MeV.n_8",7,9
"Bgd_Ar.350.MeV.n_24",5,9
"FociPerGy_Ar.350.MeV.n_24",8,9
"Bgd_Fe.600.MeV.n_4",7,9
"FociPerGy_Si.350.MeV.n_4",8,8
"Bgd_Ar.350.MeV.n_4",8,8
"Bgd_Ar.350.MeV.n_48",11,8
"Bgd_X.ray_4",5,8
"Bgd_X.ray_24",5,8
"Bgd_Si.350.MeV.n_48",7,7
"FociPerGy_Ar.350.MeV.n_48",7,7
"Bgd_Fe.600.MeV.n_48",8,7
"FociPerGy_Fe.600.MeV.n_48",5,7
"Bgd_Si.350.MeV.n_8",8,6
"Bgd_Ar.350.MeV.n_8",13,6
"Bgd_Si.350.MeV.n_4",12,5
"FociPerGy_Si.350.MeV.n_48",8,5
"FociPerGy_Ar.350.MeV.n_4",9,5
"FociPerGy_Fe.600.MeV.n_4",10,4
"FociPerGy_Fe.600.MeV.n_8",11,4
"Bgd_Si.350.MeV.n_24",13,3
"FociPerGy_Si.350.MeV.n_24",8,3
"Bgd_Fe.600.MeV.n_8",13,3
